facility_name,odhf_facility_type,latitude,longitude
Alberta Children's Hospital,Hospitals,51.1267877,-114.1329645
Alberta Hospital Edmonton,Hospitals,53.636387,-113.374023
Athabasca Healthcare Centre,Hospitals,54.71724,-113.254056
Barrhead Community Cancer Centre,Hospitals,54.1196258,-114.4015147
Barrhead Healthcare Centre,Hospitals,54.1197041,-114.4001676
Bassano Health Centre,Hospitals,50.7892616,-112.461057
Beaverlodge Municipal Hospital,Hospitals,55.2136098,-119.4240928
Bentley Care Centre,Hospitals,52.467744,-114.04616
Big Country Health Centre,Hospitals,55.710472,-116.914222
Big Country Hospital,Hospitals,51.351585,-110.478813
Bonnyville Community Cancer Centre,Hospitals,54.26373,-110.7393
Bonnyville Health Centre,Hospitals,54.2637533,-110.7414916
Bonnyville Healthcare Centre,Ambulatory health care services,54.26373,-110.7393
Bow Island Health Centre,Hospitals,49.8655484,-111.3793987
Bow Valley Community Cancer Centre,Hospitals,51.092455,-115.35172
Boyle Healthcare Centre,Hospitals,54.588366,-112.801974
Boyle Mccauley Health Centre,Hospitals,53.55136,-113.486
Breton Health Centre,Hospitals,53.1092291,-114.4712943
Brooks Health Centre,Hospitals,50.5676564,-111.890977
Camrose Community Cancer Centre,Hospitals,53.014198,-112.830093
Canmore General Hospital,Hospitals,51.09301,-115.350651
Cardston Health Centre,Hospitals,49.201947,-113.305761
Centennial Centre For Mental Health And Brain Injury,Hospitals,52.648905,-113.575936
Central Alberta Cancer Centre,Hospitals,52.2606267,-113.8183868
Central Peace Health Complex,Hospitals,55.776981,-118.838754
Chinook Regional Hospital,Hospitals,49.68535,-112.8151851
Claresholm General Hospital,Hospitals,50.018656,-113.582623
Coaldale Health Centre,Hospitals,49.725825,-112.607294
Cold Lake Healthcare Centre,Hospitals,54.4658735,-110.199018
Consort Hospital,Hospitals,52.0098399,-110.7820183
Consort Hospital And Care Centre,Hospitals,52.0120048,-110.7717888
Coronation Hospital And Care Centre,Hospitals,52.0964213,-111.4597738
Coronation Hspital & Care Centre,Hospitals,52.0962638,-111.459203
Covenant Health Bonnyville Health Centre,Hospitals,54.263728,-110.739296
Covenant Health Grey Nuns Community Hospital,Hospitals,53.462682,-113.432304
Covenant Health Killam Health Care Centre,Hospitals,52.788935,-111.859551
Covenant Health Mineral Springs Hospital,Hospitals,51.17925,-115.574865
Covenant Health Misericordia Community Hospital,Hospitals,53.522149,-113.613021
Covenant Health Our Lady Of The Rosary Hospital,Hospitals,52.2234403,-111.9068616
Covenant Health St. Joseph's General Hospital [ab],Hospitals,53.494418,-112.033619
Covenant Health St. Mary's Hospital [camrose],Hospitals,53.013725,-112.830994
Cross Cancer Institute,Hospitals,53.5182625,-113.5310786
Crowsnest Pass Health Centre,Hospitals,49.6131739,-114.4736247
Daysland Health Centre,Hospitals,52.868425,-112.272521
Devon General Hospital,Hospitals,53.351493,-113.730785
Didsbury District Health Services,Hospitals,51.661795,-114.123674
Dr. Cooke Extended Care Centre,Nursing and residential care facilities,53.273049,-110.019164
Drayton Valley Community Cancer Centre,Hospitals,53.212021,-114.969841
Drayton Valley Hospital & Care Centre,Hospitals,53.211841,-114.969193
Drumheller Community Cancer Centre,Hospitals,51.470875,-112.745003
Drumheller Health Centre,Hospitals,51.4698073,-112.7259344
Edson Healthcare Centre,Hospitals,53.59182,-116.407
Elk Point Healthcare Centre,Hospitals,53.8969745,-110.9058049
Fairview Health Complex,Hospitals,56.0709656,-118.3845521
Foothills Medical Centre,Hospitals,51.0642833,-114.1339478
Fort Macleod Health Centre,Hospitals,49.726332,-113.3932472
Fort Mcmurray Community Cancer Centre,Hospitals,56.7176831,-111.3618006
Fort Saskatchewan Community Hospital,Hospitals,53.693159,-113.213229
Fort Saskatchewan Health Centre,Hospitals,53.7033208,-113.2225242
Fox Creek Health Care Centre,Hospitals,54.4046429,-116.801403
George Mcdougall - Smoky Lake Healthcare Centre,Ambulatory health care services,54.12128065,-112.4652356
Glenrose Rehabilitation Hospital,Nursing and residential care facilities,53.5601013,-113.4976534
Grande Cache Community Health Complex,Hospitals,53.8915173,-119.1192184
Grande Prairie Cancer Centre,Hospitals,55.175391,-118.788449
Grey Nuns Community Hospital,Hospitals,53.4615831,-113.4297243
Grimshaw / Berwyn And District Community Health Centre,Ambulatory health care services,56.190432,-117.627213
Grimshaw Berwyn Community Health Centre,Hospitals,56.190388,-117.62725
Hanna Health Centre,Hospitals,51.6489192,-111.9282036
Hardisty Health Centre,Hospitals,52.669316,111.307616
High Prairie Health Complex,Hospitals,55.431645,116.454926
High River Community Cancer Centre,Hospitals,50.575135,-113.879344
High River General Hospital,Hospitals,50.5751035,-113.8799478
Hinton Community Cancer Centre,Hospitals,53.397391,-117.586038
Hinton Healthcare Centre,Hospitals,53.398281,-117.58529
Innisfail Health Centre,Hospitals,52.019015,-113.9514399
Jack Ady Cancer Centre,Hospitals,49.68488,-112.814734
Jasper (seton) Healthcare Centre,Hospitals,52.876107,-118.084299
Killam General Hospital,Hospitals,52.788934,-111.859543
Killam Health Care Centre,Hospitals,52.789351,-111.85897
Lac La Biche Healthcare Centre,Hospitals,54.764751,-111.964494
Lacombe Hospital & Care Centre,Hospitals,52.4606766,-113.7411041
Lamont Health Care Centre,Hospitals,53.762612,-112.788581
Leduc Community Hospital,Hospitals,53.2548359,-113.5453314
Little Bow Continuing Care Centre,Hospitals,50.124098,-113.108947
Lloydminster Continuing Care Centre,Nursing and residential care facilities,53.274952,-110.017784
Manning Community Health Centre,Hospitals,56.9279959,-117.621417
Margery E. Yuill Cancer Centre,Hospitals,50.03456,-110.70232
Mayerthorpe Health Care Centre,Hospitals,53.952194,-115.1472169
Mazankowski Alberta Heart Institute,Hospitals,53.520191,-113.522727
Medicine Hat Regional Hospital,Hospitals,50.034733,-110.702725
Milk River Health Centre,Hospitals,49.148256,-112.0763544
Mineral Springs Hospital,Hospitals,51.1791402,-115.5746754
Misericordia Community Hospital,Hospitals,53.5210277,-113.6123197
Northeast Community Health Centre,Hospitals,53.604272,-113.417472
Northern Lights Regional Health Centre,Hospitals,56.7163523,-111.3622389
Northwest Health Centre,Hospitals,58.5135257,-117.1621529
Oilfields General Hospital,Hospitals,50.6780144,-114.2344127
Olds Hospital & Care Centre,Hospitals,51.8013128,-114.1178349
Our Lady Of The Rosary Hospital,Hospitals,52.2233878,-111.9068537
Peace River Community Cancer Centre,Hospitals,56.23018745,-117.3536897
Peace River Community Health Centre,Hospitals,56.231053,117.354442
Peter Lougheed Centre,Hospitals,51.078059,-113.98295
Pincher Creek Health Centre,Hospitals,49.493452,-113.946935
Piyami Health Centre,Hospitals,49.8731985,-112.7773122
Ponoka Hospital And Care Centre,Hospitals,52.684724,-113.589511
Provost Health Centre,Hospitals,52.357969,110.26484
Queen Elizabeth Ii Hospital,Hospitals,55.1752923,-118.786568
Raymond Health Centre,Hospitals,49.4647002,-112.650584
Red Deer Regional Hospital Centre,Hospitals,52.2607786,-113.818671
Redwater Health Centre,Hospitals,53.9495991,-113.1255813
Richmond Road Diagnostic & Treatment Centre,Hospitals,51.035999,-114.110878
Rimbey Hospital & Care Centre,Hospitals,52.6396975,-114.2459585
Rocky Mountain House Health Centre,Hospitals,52.3785683,-114.920205
Rockyview General Hospital,Hospitals,50.9898221,-114.096632
Royal Alexandra Hospital,Hospitals,53.5573875,-113.497772
Sacred Heart Community Health Centre,Hospitals,55.710475,-116.914218
Seton (jasper) Healthcare Centre,Hospitals,52.876102,-118.084124
Slave Lake Healthcare Centre,Hospitals,55.284356,-114.760739
Smoky Lake (george Mcdougall Memorial) Healthcare Centre,Hospitals,54.121133,-112.465024
Smoky Lake Healthcare Centre,Hospitals,54.121031,-112.464953
South Health Campus,Hospitals,50.8820756,-113.9511437
St. Joseph's General Hospital - Vegreville,Hospitals,53.493974,-112.033805
St. Joseph-s General Hospital,Hospitals,53.49442,-112.03362
St. Mary's Camrose,Hospitals,53.0142926,-112.8305401
St. Mary-s Hospital,Hospitals,53.014198,-112.830093
St. Paul Healthcare Centre,Hospitals,53.9888438,-111.2904497
St. Theresa General Hospital,Hospitals,58.3858843,-116.0122067
St. Therese-st. Paul Healthcare Centre,Hospitals,53.989267,-111.290463
Stettler Hospital & Care Centre,Hospitals,52.323974,-112.72346
Stollery Children-s Hospital,Hospitals,53.520463,-113.520921
Strathmore District Health Services,Hospitals,51.060882,-113.386513
Sturgeon Community Hospital,Hospitals,53.65524,-113.625711
Sundre Hospital & Care Centre,Hospitals,51.807789,-114.635486
Swan Hills Healthcare Centre,Hospitals,54.7274797,-115.403079
Taber Health Centre,Hospitals,49.7850125,-112.1651375
The Good Samaritan Society - Dr. Gerald Zetter Care Centre,Nursing and residential care facilities,53.5072809,-113.477577
Three Hills Health Centre,Hospitals,51.7078018,-113.2510859
Tofield Health Centre,Hospitals,53.3726572,-112.6510992
Tom Baker Cancer Centre,Hospitals,51.063131,-114.133258
Two Hills Health Centre,Hospitals,53.7132007,-111.731815
University Of Alberta Hospital,Hospitals,53.520463,-113.520921
University Of Alberta Hospital And Stollery Children's Hospital,Hospitals,53.5206343,-113.524527
Valleyview Health Centre,Hospitals,55.066647,-117.273404
Vermilion Health Centre,Hospitals,53.3547731,-110.8730789
Viking Health Centre,Hospitals,53.0996627,-111.7764446
Vulcan Community Health Centre,Hospitals,50.3961012,-113.2588
Wabasca/desmarais Healthcare Centre,Ambulatory health care services,55.9429643,-113.8018573
Wainwright Health Centre,Hospitals,52.840949,-110.865862
Westlock Healthcare Centre (h),Hospitals,54.14653,-113.853259
Westview Health Centre,Hospitals,53.537465,-113.977133
Westview Health Centre - Stony Plain,Ambulatory health care services,53.53827,-113.978791
Wetaskiwin Hospital & Care Centre,Hospitals,52.986764,-113.367947
Whitecourt Healthcare Centre,Hospitals,54.131598,-115.674435
William J. Cadzow - Lac La Biche Healthcare Centre,Ambulatory health care services,54.7643782,-111.9635723
100 Mile District General Hospital,Hospitals,51.6376711,-121.2930534
115th Residence,Nursing and residential care facilities,55.7455893,-120.2501096
11a Home,Nursing and residential care facilities,49.0241528,-123.0812712
1220 East 14th,Nursing and residential care facilities,49.3209903,-123.0404142
122nd Avenue Home,Nursing and residential care facilities,49.2244182,-122.6062374
123 Walk-in Clinic,Ambulatory health care services,49.051786,-122.315463
123rd Home,Nursing and residential care facilities,49.2259116,-122.6427073
13333 - 20th Avenue,Nursing and residential care facilities,49.038953,-122.852582
1416 Residence,Nursing and residential care facilities,55.759787,-120.242
17th Street Home,Nursing and residential care facilities,50.273778,-119.255517
1985 Treelane Road,Nursing and residential care facilities,50.025908,-125.27372
1990 Treelane Road,Nursing and residential care facilities,50.026306,-125.27363
216a Street,Nursing and residential care facilities,49.1658526,-122.6236643
227th Home,Nursing and residential care facilities,49.2346071,-122.5944504
25th Avenue Group Home,Nursing and residential care facilities,50.7177569,-119.2529612
29th Street House,,49.2759644,-117.6461235
30th Street Group Home,Nursing and residential care facilities,50.708592,-119.2511272
3381 Worthington,Nursing and residential care facilities,49.2551157,-123.0327623
35th Avenue Home,Nursing and residential care facilities,50.2664676,-119.2434272
38th Avenue Group Home,Nursing and residential care facilities,49.2364595,-123.0949445
47th Avenue Residence,Nursing and residential care facilities,49.2279307,-123.070041
4th Street Home,Nursing and residential care facilities,49.5156951,-115.7487471
58th Avenue Home,Nursing and residential care facilities,49.107193,-122.415845
5960 Angus Place,Nursing and residential care facilities,49.110777,-122.747127
5984 - 191a Street,Nursing and residential care facilities,49.1106832,-122.691835
6655a And 6655b Arlington Street,Nursing and residential care facilities,49.222888,-123.029207
6699 Arlington,Nursing and residential care facilities,49.222641,-123.029465
7th Street,Nursing and residential care facilities,49.5020649,-115.7749363
88th,Nursing and residential care facilities,49.1623587,-122.5823423
917 Foster,Nursing and residential care facilities,49.2565375,-122.8710548
92a Street House,Nursing and residential care facilities,56.2337165,-120.8340087
9511 Steveston Highway,Nursing and residential care facilities,49.1337379,-123.1212091
95th Avenue Residence,Nursing and residential care facilities,55.7674715,-120.249386
Abbotsford Regional Hospital And Cancer Care,Hospitals,49.041893,-122.295136
Abbotsford Regional Hospital And Cancer Centre,Hospitals,49.037872,-122.312854
Abbotsford Village Medical Clinic,Ambulatory health care services,49.038729,-122.269714
Abbott House,Nursing and residential care facilities,48.850301,-123.71504
Abby Central Medical And Dental Clinic,Ambulatory health care services,49.0541,-122.3176
Aberdeen Hospital - Victoria,Hospitals,48.4418999,-123.343
Able Care Medical Clinic,Ambulatory health care services,49.277419,-122.795021
Acacia Ty Mawr,Nursing and residential care facilities,48.649871,-123.62358
Acropolis Manor,Nursing and residential care facilities,54.304055,-130.33
Adanac House,Nursing and residential care facilities,48.4350268,-123.3317071
Adanac Park Lodge,Nursing and residential care facilities,49.2770771,-123.0245958
Adrian House,Nursing and residential care facilities,49.2756077,-122.9836654
Agassiz Seniors Community,Nursing and residential care facilities,49.2335015,-121.7681608
Airport Way Medical Clinic,Ambulatory health care services,58.80862,-122.6934
Alder House,Nursing and residential care facilities,49.2461756,-123.0655383
Alder Medical Centre,Ambulatory health care services,50.007502,-125.241145
Alder Medical Clinic,Ambulatory health care services,51.6391635,-121.2962013
Alexis Home,Nursing and residential care facilities,50.701098,-120.3833093
Alfred Adult Residential,Nursing and residential care facilities,54.776614,-127.17154
Alice Lake Place Group Home,Nursing and residential care facilities,49.2551287,-122.813081
Allwood Medical Centre,Ambulatory health care services,49.051728,-122.319815
Altesse,Nursing and residential care facilities,49.2343917,-123.0214555
Amadeus Residence,Nursing and residential care facilities,48.392091,-123.53762
Amelia House,Nursing and residential care facilities,48.6589243,-123.4037832
Amica At Edgemont Village,Nursing and residential care facilities,49.33829,-123.101
Amica Douglas House,Nursing and residential care facilities,48.410418,-123.3692
Amica Lions Gate,Nursing and residential care facilities,49.3313851,-123.135713
Amica On The Gorge,Nursing and residential care facilities,48.453413,-123.41963
Amica West Vancouver,Nursing and residential care facilities,49.3285716,-123.1332044
Amica White Rock,Nursing and residential care facilities,49.0313306,-122.7979716
Ananda House,Nursing and residential care facilities,49.263484,-123.079
Ancron Medical Centre,Ambulatory health care services,49.491628,-117.294835
Apple Gate Respite Home,Nursing and residential care facilities,49.961599,-125.22528
Apple Plaza Walk-in Clinic,Ambulatory health care services,49.47786,-119.5822
Applecross,Nursing and residential care facilities,49.241761,-124.04279
Aquarius Medical Clinic,Ambulatory health care services,49.273776,-123.120741
Arborwynd,Nursing and residential care facilities,49.2051508,-122.4709799
Arbour Cottage,Nursing and residential care facilities,48.9920971,-123.8145297
Arc En Ciel,Nursing and residential care facilities,48.4473046,-123.385387
Archway Community Services,Ambulatory health care services,49.053349,-122.32308
Archway House,Nursing and residential care facilities,49.1102944,-122.7568634
Argyll Lodge,Nursing and residential care facilities,49.158058,-122.297122
Arrow Lakes Hospital,Hospitals,50.2382819,-117.7959708
Arrowsmith Lodge,Nursing and residential care facilities,49.316385,-124.32359
Ashcroft And District Hospital And Community Health Centre,Hospitals,50.7347718,-121.2801628
Ashcroft Hospital And Community Health Care Centre,Hospitals,50.734772,-121.280163
Ashley Home,Nursing and residential care facilities,49.042617,-122.313256
Ashnola At The Crossing,Nursing and residential care facilities,49.220572,-119.953199
Aster House,Nursing and residential care facilities,49.037309,-122.789768
Augustine House,Nursing and residential care facilities,49.0730448,-123.0769909
Avecina Medical Clinic,Ambulatory health care services,49.10429,-122.6567
Avenir Memory Care At Nanaimo,Nursing and residential care facilities,49.21429,-124.02451
Avonlea Care Centre Ltd,Nursing and residential care facilities,49.894147,-119.461716
Axis House Castlegar,Nursing and residential care facilities,49.282833,-117.651421
Axis House Williams Lake,Nursing and residential care facilities,52.1100783,-122.1000214
Ayre Manor,Nursing and residential care facilities,48.378338,-123.72716
Azure Group Home,Nursing and residential care facilities,49.163382,-123.1552752
Bakerview Court,Nursing and residential care facilities,49.11592,-122.698825
Banfield Pavilion - Vancouver General Hospital,Nursing and residential care facilities,49.2611939,-123.1187682
Bannister Drive Residence,Nursing and residential care facilities,49.1580908,-122.296432
Banyan House,Nursing and residential care facilities,49.24762,-123.0333789
Barberry Lodge,Nursing and residential care facilities,49.2648821,-122.75463
Barclay Care Home Ltd.,Nursing and residential care facilities,49.269879,-122.768542
Barlynn House,Nursing and residential care facilities,49.3286133,-123.0398721
Barriere House,Nursing and residential care facilities,51.1768649,-120.1290682
Bayshore Home,Nursing and residential care facilities,49.1007302,-121.9947065
Bc Children's Hospital,Hospitals,49.244569,-123.125683
Bc Women's Hospital And Health Centre,Hospitals,49.243637,-123.125393
Beacon Hill Villa,Nursing and residential care facilities,48.4180655,-123.3670916
Beckley Farm Lodge,Nursing and residential care facilities,48.415112,-123.37239
Beckman House,Nursing and residential care facilities,49.2212835,-122.6220496
Bed & Breakfast,Nursing and residential care facilities,48.460699,-123.36752
Bella Bella Medical Clinic,Ambulatory health care services,52.161197,-128.143155
Bella Coola General Hospital,Hospitals,52.3741762,-126.75795
Bella Coola Medical Clinic,Ambulatory health care services,52.373495,-126.757077
Belmont Residence,Nursing and residential care facilities,49.0741414,-122.6645132
