Geographic name,percent elderly 65+ 2016,percent elderly 85+ 2016,percent elderly 65+ 2011,percent elderly 85+ 2011,Latitude,Longitude,predicted 65+,predicted 85+
Portugal Cove South,20.0,0.0,15.625,0.0,47.613369,-52.842377,21.75,0.0
Trepassey,36.734693877551024,2.0408163265306123,22.807017543859647,1.7543859649122806,46.737496,-53.364128,42.30576441102767,2.1553884711779574
St. Shott's,42.857142857142854,0.0,12.5,0.0,52.89,-60.511,55.0,0.0
Cape Broyle,19.148936170212767,0.0,20.0,2.0,47.095251,-52.95655,18.80851063829789,0.0
Renews-Cappahayden,29.03225806451613,0.0,15.151515151515152,3.0303030303030303,46.88541,-52.935499,34.5845552297169,0.0
Fermeuse,23.333333333333332,3.3333333333333335,15.625,0.0,46.976139,-52.944003,26.416666666666515,4.6666666666667425
Aquaforte,37.5,0.0,25.0,0.0,47.006499,-52.958695,42.5,0.0
Ferryland,25.301204819277107,2.4096385542168677,19.35483870967742,2.1505376344086025,47.035664,-52.884379,27.67975126311694,2.5132789221401737
Gaskiers-Point La Haye,32.0,0.0,25.0,0.0,52.89,-60.511,34.80000000000018,0.0
Riverhead,29.72972972972973,0.0,21.428571428571427,0.0,52.89,-60.511,33.05019305019323,0.0
Mount Carmel-Mitchells Brook-St. Catherine's,32.35294117647059,0.0,25.71428571428571,2.857142857142857,47.132321,-53.497723,35.00840336134479,0.0
Colinet,33.33333333333333,0.0,33.33333333333333,0.0,47.219266,-53.552108,33.33333333333333,0.0
Branch,23.809523809523807,4.761904761904762,13.636363636363637,0.0,46.88206,-53.953498,27.878787878787534,6.666666666666515
Placentia,27.966101694915253,3.954802259887006,22.371967654986523,4.31266846361186,47.364083,-53.857708,30.203755310887118,3.8116557783970677
Fox Harbour,23.52941176470588,0.0,18.51851851851852,0.0,47.32123,-53.91255,25.533769063181126,0.0
Long Harbour-Mount Arlington Heights,25.0,0.0,19.35483870967742,3.225806451612903,47.385673,-53.756172,27.258064516128798,0.0
Southern Harbour,18.91891891891892,0.0,14.000000000000002,0.0,47.714619,-53.972145,20.88648648648632,0.0
Arnold's Cove,23.958333333333336,1.0416666666666663,17.708333333333336,1.0416666666666663,47.772662,-53.9785,26.458333333333485,1.0416666666666663
Come By Chance,17.391304347826086,0.0,25.0,0.0,47.802766,-53.998434,14.347826086956502,0.0
Sunnyside,25.64102564102564,0.0,17.391304347826086,0.0,47.897371,-53.949718,28.940914158305077,0.0
Chance Cove,36.0,0.0,27.58620689655172,0.0,47.650815,-53.800656,39.365517241379166,0.0
Norman's Cove-Long Cove,30.303030303030305,4.545454545454546,23.28767123287671,4.10958904109589,47.561807,-53.695672,33.109173931091846,4.719800747198008
Chapel Arm,24.444444444444443,2.2222222222222223,19.148936170212767,0.0,47.518965,-53.674622,26.562647754136833,3.111111111111086
Whitbourne,23.52941176470588,1.1764705882352942,20.224719101123593,1.1235955056179776,47.420064,-53.535784,24.851288830139083,1.1976206212822227
Whiteway,31.08108108108108,6.756756756756757,27.58620689655172,5.172413793103448,47.665428,-53.485436,32.47903075489285,7.390493942218086
Heart's Delight-Islington,29.230769230769234,0.0,22.388059701492537,1.4925373134328357,47.759507,-53.481573,31.967853042479874,0.0
Heart's Desire,25.0,0.0,19.047619047619047,0.0,47.810467,-53.445571,27.380952380952294,0.0
Heart's Content,29.411764705882355,0.0,27.77777777777778,0.0,47.872161,-53.368424,30.065359477124048,0.0
New Perlican,26.31578947368421,0.0,19.047619047619047,0.0,47.907784,-53.361034,29.223057644110668,0.0
Winterton,36.95652173913043,4.3478260869565215,28.000000000000004,2.0,47.955667,-53.329588,40.53913043478224,5.286956521739171
Hant's Harbour,25.806451612903224,0.0,24.24242424242424,3.0303030303030303,48.005558,-53.26773,26.432062561094767,0.0
Old Perlican,18.181818181818183,3.0303030303030303,16.666666666666664,3.0303030303030303,48.082531,-53.005519,18.787878787878753,3.0303030303030303
Bay de Verde,30.76923076923077,2.564102564102564,21.951219512195124,0.0,48.085194,-52.895034,34.29643527204507,3.5897435897434207
Small Point-Adam's Cove-Blackhead-Broad Cove,26.31578947368421,0.0,25.64102564102564,2.564102564102564,47.837682,-53.098649,26.58569500674767,0.0
Salmon Cove,23.52941176470588,0.0,18.181818181818183,0.0,47.782033,-53.175116,25.668449197861264,0.0
Carbonear,25.0,4.069767441860465,22.664015904572565,4.572564612326044,47.722624,-53.228726,25.934393638170945,3.8686485736742497
